Order,Line,Site,Supplier,Name,Item Number,Quantity Ordered,Quantity Open,Quantity Received,UM,Due Date,Sales/Job,Producti,St,ERS PL Opt,ERS Opt,Consignment,Type,Operation,Ship-To,Performance Date,Need Date,Order Revision,Item Description
PO011320,3,11-300,30S1004,Shanghai Chemical Manufacturers,80045,"22,500.0",0.0,"22,500.0",G,14/01/2013,,,c,0,1,No,,0,11-300,14/01/2013,14/01/2013,0,Cyamposis Tetragonolobus (Guar Gum) Powder
PO011320,4,11-300,30S1004,Shanghai Chemical Manufacturers,80046,"11,300.0",0.0,"11,300.0",G,14/01/2013,,,,0,1,No,,0,11-300,14/01/2013,14/01/2013,0,Citric Acid Powder
PO011320,5,11-500,30S1004,Shanghai Chemical Manufacturers,80063,5.0,0.0,5.0,ML,14/01/2013,,,c,0,1,No,,0,11-300,14/01/2013,14/01/2013,0,Flavor
PO011320,6,11-500,30S1004,Shanghai Chemical Manufacturers,80066,65.0,0.0,65.0,G,14/01/2013,,,c,0,1,No,,0,11-300,14/01/2013,14/01/2013,0,Sorbitol
PO011601,1,11-400,10S1001,Taylor & Fulton Fruit Co.,80050,20.0,0.0,20.0,LB,06/01/2016,,,c,0,1,No,,0,11-400,06/01/2016,06/01/2016,0,Fruit
PO011602,1,11-100,10S1002,Bridgeville Industries,60001,50.0,0.0,50.0,EA,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Durable Plastic Housing
PO011602,2,11-100,10S1002,Bridgeville Industries,60005,50.0,0.0,50.0,EA,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Battery
PO011602,3,11-100,10S1002,Bridgeville Industries,60007,50.0,0.0,50.0,EA,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Movable Cart
PO011602,4,11-100,10S1002,Bridgeville Industries,60012,150.0,0.0,150.0,EA,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Electrodes
PO011602,5,11-200,10S1002,Bridgeville Industries,62201,"1,200.0",0.0,"1,200.0",EA,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,"24V Amp 2HP, 1/2 Dia"
PO011602,6,11-200,10S1002,Bridgeville Industries,62203,"9,500.0",0.0,"9,500.0",EA,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,"Stud Press Fit #6 1/4"""
PO011603,1,11-100,10S1003,Heron Surgical Supply,01012,650.0,0.0,650.0,BX,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,"Sterile Probe Covers, 20 One time use"
PO011604,1,11-100,10S1004,Sungro Chemicals,60061,90.0,0.0,90.0,GA,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Black Paint
PO011604,2,11-100,10S1004,Sungro Chemicals,60062,90.0,0.0,90.0,GA,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,"Paint, Other"
PO011604,3,11-300,10S1004,Sungro Chemicals,80010,"9,200.0",0.0,"9,200.0",GA,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Distilled Water Liquid
PO011604,4,11-300,10S1004,Sungro Chemicals,80011,320.0,0.0,320.0,GA,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Purified Water Liquid
PO011604,5,11-300,10S1004,Sungro Chemicals,80041,"1,300.0",0.0,"1,300.0",G,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Caromer 980 Powder/Thickening Agent
PO011604,6,11-300,10S1004,Sungro Chemicals,80043,"22,500.0",0.0,"22,500.0",G,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Ceratonia Siliquis (Locust Bean Gum) Powder
PO011604,7,11-300,10S1004,Sungro Chemicals,80044,"22,500.0",0.0,"22,500.0",G,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Xanthan Gum Powder
PO011604,8,11-500,10S1004,Sungro Chemicals,80060,"1,000.0",0.0,"1,000.0",G,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Simethicone
PO011604,9,11-500,10S1004,Sungro Chemicals,80064,20.0,0.0,20.0,G,06/01/2016,,,c,0,1,No,,0,11-100,06/01/2016,06/01/2016,0,Magnesium Stearate
PO011605,1,11-100,10S1005,Absolute Electronics Company,60003,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Keyboard
PO011606,1,11-100,10S1006,Hampton Electronics,60002,25.0,0.0,25.0,EA,07/01/2016,,,c,0,1,No,,0,11-100,07/01/2016,07/01/2016,0,Display / Readout
PO011606,2,11-100,10S1006,Hampton Electronics,60008,25.0,0.0,25.0,EA,07/01/2016,,,c,0,1,No,,0,11-100,07/01/2016,07/01/2016,0,Printer
PO011607,1,11-400,11S1000,Chiro Foods Limited,80051,10.0,0.0,10.0,G,07/01/2016,,,c,0,1,No,,0,11-400,07/01/2016,07/01/2016,0,Proprietary Spice Mix
PO011608,1,11-300,11S1001,Plastics of Oshawa,90010,"4,800.0",0.0,"4,800.0",EA,07/01/2016,,,c,0,1,No,,0,11-300,07/01/2016,07/01/2016,0,Pump Dispenser .25l
PO011608,2,11-300,11S1001,Plastics of Oshawa,90011,"33,000.0",0.0,"33,000.0",EA,07/01/2016,,,c,0,1,No,,0,11-300,07/01/2016,07/01/2016,0,Plastic Bottle .5l
PO011608,3,11-300,11S1001,Plastics of Oshawa,90012,"4,800.0",0.0,"4,800.0",EA,07/01/2016,,,c,0,1,No,,0,11-300,07/01/2016,07/01/2016,0,Plastic Bottle 1l
PO011608,4,11-400,11S1001,Plastics of Oshawa,90019,"11,100.0",0.0,"11,100.0",EA,07/01/2016,,,c,0,1,No,,0,11-300,07/01/2016,07/01/2016,0,"Plastic Bottle, 750 ml"
PO011609,1,11-300,12S1001,Packaging Components Ltd.,90013,"11,500.0",0.0,"11,500.0",EA,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,4 Liter Tub
PO011609,2,11-300,12S1001,Packaging Components Ltd.,90016,"200,000.0",0.0,"200,000.0",EA,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,25 ml Tube
PO011609,3,11-300,12S1001,Packaging Components Ltd.,90040,"47,500.0",0.0,"47,500.0",EA,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Caps
PO011609,4,11-300,12S1001,Packaging Components Ltd.,90072,"4,660.0",0.0,"4,660.0",EA,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,"Multi-Pack, 4 Bottle Box"
PO011609,5,11-100,12S1001,Packaging Components Ltd.,90093,75.0,0.0,75.0,EA,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Shipping Carton
PO011610,1,11-100,12S1002,Mexico City Chemicals,60060,160.0,0.0,160.0,GA,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,White Paint
PO011610,2,11-300,12S1002,Mexico City Chemicals,80020,600.0,0.0,600.0,ML,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Fragrance
PO011610,3,11-300,12S1002,Mexico City Chemicals,80021,125.0,0.0,125.0,GA,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Green Colorant
PO011610,4,11-300,12S1002,Mexico City Chemicals,80033,35.0,0.0,35.0,L,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Jojoba Oil Liquid
PO011610,5,11-300,12S1002,Mexico City Chemicals,80034,325.0,0.0,325.0,L,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Aloe Vera Oil Liquid
PO011610,6,11-300,12S1002,Mexico City Chemicals,80042,"4,500.0",0.0,"4,500.0",G,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Potassium Sorbate Powder
PO011610,7,11-500,12S1002,Mexico City Chemicals,80061,10.0,0.0,10.0,G,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Compressable Sugar
PO011610,8,11-500,12S1002,Mexico City Chemicals,80065,75.0,0.0,75.0,G,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Maltodextrin
PO011611,1,11-100,12S1003,Puerto Vallarta Surgical Supplies,01013,"2,700.0",0.0,"2,700.0",BX,08/01/2016,,,c,0,1,No,,0,11-100,08/01/2016,08/01/2016,0,"Sterile Wipes, Box of 50"
PO011612,1,11-300,20S1002,Pharmaceutical Chemical Supply,80001,"1,000.0",0.0,"1,000.0",G,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Quaternary Amonium Chloride
PO011612,2,11-300,20S1002,Pharmaceutical Chemical Supply,80002,500.0,0.0,500.0,G,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Biguanide Compound
PO011612,3,11-300,20S1002,Pharmaceutical Chemical Supply,80031,"1,900.0",0.0,"1,900.0",L,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Ethanol Liquid
PO011612,4,11-300,20S1002,Pharmaceutical Chemical Supply,80035,35.0,0.0,35.0,L,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Glyceryl Monoiaurate Liquid
PO011612,5,11-300,20S1002,Pharmaceutical Chemical Supply,80036,110.0,0.0,110.0,L,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Benzyl Alcohol Liquid
PO011612,6,11-300,20S1002,Pharmaceutical Chemical Supply,80037,5.0,0.0,5.0,L,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,EDTA Liquid
PO011612,7,11-300,20S1002,Pharmaceutical Chemical Supply,80038,"2,750.0",0.0,"2,750.0",L,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Phenoxyethanol Liquid
PO011612,8,11-300,20S1002,Pharmaceutical Chemical Supply,80040,850.0,0.0,850.0,L,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Lidocaine Liquid
PO011612,9,11-500,20S1002,Pharmaceutical Chemical Supply,80062,5.0,0.0,5.0,ML,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,Dextrose
PO011613,1,11-300,20S1003,Containers Ltd,90014,"500,500.0",0.0,"500,500.0",EA,06/01/2016,,,c,0,1,No,,0,11-500,06/01/2016,06/01/2016,0,5 ml Tube
PO011613,2,11-500,20S1003,Containers Ltd,90017,750.0,0.0,750.0,EA,06/01/2016,,,c,0,1,No,,0,11-500,06/01/2016,06/01/2016,0,"Bottle, 50 Size"
PO011613,3,11-500,20S1003,Containers Ltd,90030,"1,450.0",0.0,"1,450.0",EA,06/01/2016,,,c,0,1,No,,0,11-500,06/01/2016,06/01/2016,0,"Blister Pack, 6 Tablet"
PO011613,4,11-300,20S1003,Containers Ltd,90050,"2,250.0",0.0,"2,250.0",EA,06/01/2016,,,c,0,1,No,,0,11-500,06/01/2016,06/01/2016,0,25 Gallon Drum
PO011613,5,11-500,20S1003,Containers Ltd,90073,750.0,0.0,750.0,EA,06/01/2016,,,c,0,1,No,,0,11-500,06/01/2016,06/01/2016,0,"Box, 2 Blister Pack Size"
PO011614,1,11-100,21S1001,Power Cord International,60009,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Probe Housing Rev. A
PO011614,2,11-100,21S1001,Power Cord International,60080,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Power Cord - UK
PO011614,3,11-100,21S1001,Power Cord International,60081,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Power Cord - US
PO011614,4,11-100,21S1001,Power Cord International,60082,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Power Cord - Australia
PO011614,5,11-100,21S1001,Power Cord International,60083,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Power Cord - Universal
PO011614,6,11-100,21S1001,Power Cord International,60088,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Power Converter-Standard
PO011614,7,11-100,21S1001,Power Cord International,60089,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Power Converter - Smart
PO011615,1,11-100,21S1003,Babberich Electronics,60014,20.0,0.0,20.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Software CD
PO011615,2,11-100,21S1003,Babberich Electronics,60050,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Base Unit / CPU
PO011615,3,11-100,21S1003,Babberich Electronics,60051,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Microprocessor IM Rev. A
PO011616,1,11-300,22S1001,Cheshire Packaging Products,90015,"250,100.0",0.0,"250,100.0",EA,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,15 ml Tube
PO011616,2,11-500,22S1001,Cheshire Packaging Products,90018,750.0,0.0,750.0,EA,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,"Bottle, 100 Size"
PO011616,3,11-200,22S1001,Cheshire Packaging Products,90031,"12,500.0",0.0,"12,500.0",EA,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,Generic Packaging
PO011616,4,11-300,22S1001,Cheshire Packaging Products,90070,"4,750.0",0.0,"4,750.0",EA,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,Assortment Box
PO011616,5,11-300,22S1001,Cheshire Packaging Products,90071,"4,700.0",0.0,"4,700.0",EA,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,"Multi-Pack, 2 Bottle Box"
PO011616,6,11-300,22S1001,Cheshire Packaging Products,90092,"30,000.0",0.0,"30,000.0",EA,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,Standard Box
PO011617,1,11-400,22S1002,Organic Food Supply,80053,"12,500.0",0.0,"12,500.0",ML,16/01/2016,,,c,0,1,No,,0,11-400,16/01/2016,16/01/2016,0,Preservative
PO011618,1,11-100,30S1001,Xia Electronics,60004,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Transducer - 10 Mhz
PO011618,2,11-100,30S1001,Xia Electronics,60010,"6,000.0",0.0,"6,100.0",G,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Pepared Layered Mat
PO011619,1,11-100,30S1002,Tabu Power Cord Co.,60006,25.0,0.0,25.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Monitor Cable
PO011619,2,11-100,30S1002,Tabu Power Cord Co.,60011,100.0,0.0,100.0,EA,16/01/2016,,,c,0,1,No,,0,11-100,16/01/2016,16/01/2016,0,Oscillator Elements
PO011620,1,11-300,30S1004,Shanghai Chemical Manufacturers,80003,"2,000.0",0.0,"2,000.0",ML,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,Phenolic
PO011620,2,11-300,30S1004,Shanghai Chemical Manufacturers,80032,260.0,0.0,260.0,L,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,Glycerin Liquid
PO011620,3,11-300,30S1004,Shanghai Chemical Manufacturers,80045,"22,500.0",0.0,"22,500.0",G,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,Cyamposis Tetragonolobus (Guar Gum) Powder
PO011620,4,11-300,30S1004,Shanghai Chemical Manufacturers,80046,"11,400.0",0.0,"11,400.0",G,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,Citric Acid Powder
PO011620,5,11-500,30S1004,Shanghai Chemical Manufacturers,80063,5.0,0.0,5.0,ML,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,Flavor
PO011620,6,11-500,30S1004,Shanghai Chemical Manufacturers,80066,65.0,0.0,65.0,G,16/01/2016,,,c,0,1,No,,0,11-300,16/01/2016,16/01/2016,0,Sorbitol
PO011621,1,11-200,31S1002,Sydney Copper Company,62250,"2,000.0",0.0,"2,000.0",LB,20/01/2016,,,c,0,1,No,,0,11-200,20/01/2016,20/01/2016,0,Steel CRS 18ga 4301
PO011622,1,11-200,31S1003,Henderson Industrial,62202,"4,600.0",0.0,"4,600.0",EA,06/01/2016,,,c,0,1,No,,0,11-200,06/01/2016,06/01/2016,0,Pem Nut #6 .0125
PO011623,1,11-100,23S1000,Leiferant A,60002,10.0,0.0,10.0,EA,07/01/2016,,,c,0,1,No,,0,11-100,07/01/2016,07/01/2016,0,Display / Readout
PO011624,1,11-100,23S1001,BGS Innovation AG,60003,10.0,0.0,10.0,EA,10/01/2016,,,c,0,1,No,,0,11-100,10/01/2016,10/01/2016,0,Keyboard
PO011625,1,11-500,23S1002,Huber Metalwaren,90073,100.0,0.0,100.0,EA,12/01/2016,,,c,0,1,No,,0,11-500,12/01/2016,12/01/2016,0,"Box, 2 Blister Pack Size"
PO011626,1,11-300,40S1000,Lojas Americanas,90050,100.0,0.0,100.0,EA,06/01/2016,,,c,0,1,No,,0,11-300,06/01/2016,06/01/2016,0,25 Gallon Drum
PO011627,1,11-100,40S1001,ABC Compomentes Electronicos SA,90093,100.0,0.0,100.0,EA,18/01/2016,,,c,0,1,No,,0,11-300,18/01/2016,18/01/2016,0,Shipping Carton
PO011628,1,11-300,40S1002,Tintas Coloridas SA,90091,100.0,0.0,100.0,EA,07/01/2016,,,c,0,1,No,,0,11-300,07/01/2016,07/01/2016,0,Standard Shipping Box
PO011701,1,11-400,10S1001,Taylor & Fulton Fruit Co.,80050,20.0,0.0,20.0,LB,05/01/2017,,,c,0,1,No,,0,11-400,05/01/2017,05/01/2017,0,Fruit
PO011702,1,11-100,10S1002,Bridgeville Industries,60001,50.0,0.0,50.0,EA,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Durable Plastic Housing
PO011702,2,11-100,10S1002,Bridgeville Industries,60005,50.0,0.0,50.0,EA,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Battery
PO011702,3,11-100,10S1002,Bridgeville Industries,60007,50.0,0.0,50.0,EA,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Movable Cart
PO011702,4,11-100,10S1002,Bridgeville Industries,60012,150.0,0.0,150.0,EA,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Electrodes
PO011702,5,11-200,10S1002,Bridgeville Industries,62201,"1,200.0",0.0,"1,200.0",EA,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,"24V Amp 2HP, 1/2 Dia"
PO011702,6,11-200,10S1002,Bridgeville Industries,62203,"9,500.0",0.0,"9,500.0",EA,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,"Stud Press Fit #6 1/4"""
PO011703,1,11-100,10S1003,Heron Surgical Supply,01012,650.0,0.0,650.0,BX,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,"Sterile Probe Covers, 20 One time use"
PO011704,1,11-100,10S1004,Sungro Chemicals,60061,90.0,0.0,90.0,GA,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Black Paint
PO011704,2,11-100,10S1004,Sungro Chemicals,60062,90.0,0.0,90.0,GA,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,"Paint, Other"
PO011704,3,11-300,10S1004,Sungro Chemicals,80010,"9,200.0",0.0,"9,200.0",GA,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Distilled Water Liquid
PO011704,4,11-300,10S1004,Sungro Chemicals,80011,320.0,0.0,320.0,GA,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Purified Water Liquid
PO011704,5,11-300,10S1004,Sungro Chemicals,80041,"1,300.0",0.0,"1,300.0",G,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Caromer 980 Powder/Thickening Agent
PO011704,6,11-300,10S1004,Sungro Chemicals,80043,"22,500.0",0.0,"22,500.0",G,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Ceratonia Siliquis (Locust Bean Gum) Powder
PO011704,7,11-300,10S1004,Sungro Chemicals,80044,"22,500.0",0.0,"22,500.0",G,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Xanthan Gum Powder
PO011704,8,11-500,10S1004,Sungro Chemicals,80060,"1,000.0",0.0,"1,000.0",G,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Simethicone
PO011704,9,11-500,10S1004,Sungro Chemicals,80064,20.0,0.0,20.0,G,05/01/2017,,,c,0,1,No,,0,11-100,05/01/2017,05/01/2017,0,Magnesium Stearate
PO011705,1,11-100,10S1005,Absolute Electronics Company,60003,25.0,0.0,25.0,EA,15/01/2017,,,c,0,1,No,,0,11-100,15/01/2017,15/01/2017,0,Keyboard
PO011706,1,11-100,10S1006,Hampton Electronics,60002,25.0,0.0,25.0,EA,06/01/2017,,,c,0,1,No,,0,11-100,06/01/2017,06/01/2017,0,Display / Readout
PO011706,2,11-100,10S1006,Hampton Electronics,60008,25.0,0.0,25.0,EA,06/01/2017,,,c,0,1,No,,0,11-100,06/01/2017,06/01/2017,0,Printer
PO011707,1,11-400,11S1000,Chiro Foods Limited,80051,10.0,0.0,10.0,G,06/01/2017,,,c,0,1,No,,0,11-400,06/01/2017,06/01/2017,0,Proprietary Spice Mix
PO011708,1,11-300,11S1001,Plastics of Oshawa,90010,"4,800.0",0.0,"4,800.0",EA,06/01/2017,,,c,0,1,No,,0,11-300,06/01/2017,06/01/2017,0,Pump Dispenser .25l
PO011708,2,11-300,11S1001,Plastics of Oshawa,90011,"33,000.0",0.0,"33,000.0",EA,06/01/2017,,,c,0,1,No,,0,11-300,06/01/2017,06/01/2017,0,Plastic Bottle .5l
PO011708,3,11-300,11S1001,Plastics of Oshawa,90012,"4,800.0",0.0,"4,800.0",EA,06/01/2017,,,c,0,1,No,,0,11-300,06/01/2017,06/01/2017,0,Plastic Bottle 1l
PO011708,4,11-400,11S1001,Plastics of Oshawa,90019,"11,100.0",0.0,"11,100.0",EA,06/01/2017,,,c,0,1,No,,0,11-300,06/01/2017,06/01/2017,0,"Plastic Bottle, 750 ml"
PO011709,1,11-300,12S1001,Packaging Components Ltd.,90013,"11,500.0",0.0,"11,500.0",EA,05/01/2017,,,c,0,1,No,,0,11-300,05/01/2017,05/01/2017,0,4 Liter Tub
PO011709,2,11-300,12S1001,Packaging Components Ltd.,90016,"200,000.0",0.0,"200,000.0",EA,05/01/2017,,,c,0,1,No,,0,11-300,05/01/2017,05/01/2017,0,25 ml Tube
PO011709,3,11-300,12S1001,Packaging Components Ltd.,90040,"47,500.0",0.0,"47,500.0",EA,05/01/2017,,,c,0,1,No,,0,11-300,05/01/2017,05/01/2017,0,Caps
